,city,area_code,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,phone_num,which_plan
1928,West Palm Beach,561,136,yes,yes,29,85.2,98,14.48,230.4,85,19.58,243.6,104,10.96,2,0,1389,International & Voicemail 
1951,West Palm Beach,561,157,yes,no,0,180.4,123,30.67,194.0,98,16.49,227.3,88,10.23,0,0,9938,International only
1964,West Palm Beach,561,179,yes,yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,4,0,3412,International & Voicemail 
1971,West Palm Beach,561,190,yes,no,0,111.9,55,19.02,223.0,124,18.96,243.2,81,10.94,3,0,5753,International only
1978,Daytona Beach,386,3,yes,no,0,161.0,96,27.37,244.9,82,20.82,180.8,103,8.14,1,0,8012,International only
1994,Daytona Beach,386,40,yes,no,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,0,0,1900,International only
1996,Daytona Beach,386,42,yes,no,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,2,0,8002,International only
2000,Daytona Beach,386,51,yes,yes,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,2,0,9130,International & Voicemail 
2008,Daytona Beach,386,56,yes,no,0,177.7,114,30.21,215.6,110,18.33,236.7,67,10.65,1,0,1640,International only
2011,Daytona Beach,386,59,yes,yes,31,225.0,78,38.25,191.3,79,16.26,226.7,79,10.2,1,0,5354,International & Voicemail 
2023,Daytona Beach,386,64,yes,no,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,3,0,8391,International only
2054,Daytona Beach,386,80,yes,yes,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,0,0,7866,International & Voicemail 
2074,Daytona Beach,386,86,yes,no,0,266.1,120,45.24,182.0,92,15.47,206.5,103,9.29,1,0,7435,International only
2078,Daytona Beach,386,87,yes,no,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,0,0,7214,International only
2100,Daytona Beach,386,96,yes,no,0,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,2,0,5455,International only
2117,Daytona Beach,386,104,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,4,0,3966,International only
2149,Daytona Beach,386,113,yes,no,0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,1,0,4560,International only
2162,Daytona Beach,386,118,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,0,0,8027,International only
2173,Daytona Beach,386,121,yes,yes,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,3,0,3343,International & Voicemail 
2202,Daytona Beach,386,139,yes,no,0,161.5,121,27.46,192.9,137,16.4,168.3,96,7.57,0,0,9371,International only
2213,Daytona Beach,386,146,yes,no,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,1,0,4358,International only
2214,Daytona Beach,386,146,yes,no,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,1,0,6544,International only
2215,Daytona Beach,386,146,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,3,0,4842,International only
2220,Daytona Beach,386,148,yes,no,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,2,0,7710,International only
2243,Daytona Beach,386,166,yes,yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,2,0,5849,International & Voicemail 
2296,Clearwater,727,63,yes,yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,1,0,3719,International & Voicemail 
2304,Clearwater,727,68,yes,yes,39,142.0,140,24.14,241.6,89,20.54,302.0,72,13.59,1,0,2138,International & Voicemail 
2324,Clearwater,727,79,yes,no,0,103.5,134,17.6,319.3,111,27.14,239.9,124,10.8,2,0,6019,International only
2329,Clearwater,727,81,yes,yes,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,1,0,7581,International & Voicemail 
2357,Clearwater,727,92,yes,no,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,1,0,6196,International only
2364,Clearwater,727,94,yes,yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,4,0,5009,International & Voicemail 
2400,Clearwater,727,107,yes,no,0,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,2,0,8268,International only
2411,Clearwater,727,113,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,0,0,9011,International only
2418,Clearwater,727,116,yes,yes,27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,1,0,5424,International & Voicemail 
2422,Clearwater,727,117,yes,no,0,198.4,121,33.73,249.5,104,21.21,162.8,115,7.33,1,0,5766,International only
2440,Clearwater,727,127,yes,no,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,2,0,5567,International only
2441,Clearwater,727,127,yes,no,0,247.5,99,42.08,108.5,118,9.22,232.0,72,10.44,2,0,4706,International only
2460,Clearwater,727,136,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,3,0,1381,International & Voicemail 
2464,Clearwater,727,138,yes,no,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,1,0,2209,International only
2496,Clearwater,727,185,yes,yes,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,2,0,7904,International & Voicemail 
2529,Sarasota,941,55,yes,no,0,269.6,121,45.83,171.7,91,14.59,219.0,98,9.86,1,0,5970,International only
2590,Sarasota,941,87,yes,no,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,1,0,1272,International only
2614,Sarasota,941,99,yes,no,0,197.2,127,33.52,156.0,92,13.26,204.1,99,9.18,4,0,8512,International only
2658,Sarasota,941,116,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,3,0,7425,International only
2697,Sarasota,941,135,yes,yes,24,127.7,54,21.71,215.0,105,18.28,234.3,84,10.54,2,0,4013,International & Voicemail 
2705,Sarasota,941,142,yes,yes,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,0,0,2901,International & Voicemail 
2709,Sarasota,941,144,yes,no,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,0,0,8238,International only
2710,Sarasota,941,144,yes,no,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,0,0,7795,International only
2717,Sarasota,941,148,yes,no,0,218.7,111,37.18,155.6,133,13.23,277.4,62,12.48,1,0,4234,International only
2759,Cape Coral,239,29,yes,yes,37,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,2,0,3058,International & Voicemail 
2762,Cape Coral,239,33,yes,no,0,164.0,99,27.88,153.1,102,13.01,123.8,104,5.57,0,0,8956,International only
2804,Cape Coral,239,64,yes,yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,0,0,2603,International & Voicemail 
2811,Cape Coral,239,67,yes,no,0,120.9,58,20.55,235.0,88,19.98,95.1,130,4.28,2,0,9538,International only
2852,Cape Coral,239,83,yes,yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,2,0,5980,International & Voicemail 
2857,Cape Coral,239,85,yes,no,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,3,0,2951,International only
2858,Cape Coral,239,85,yes,no,0,165.4,107,28.12,196.0,126,16.66,349.2,110,15.71,2,0,5878,International only
2878,Cape Coral,239,91,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,3,0,2919,International only
2882,Cape Coral,239,92,yes,no,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,0,0,2917,International only
2901,Cape Coral,239,98,yes,no,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,1,0,3316,International only
2940,Cape Coral,239,112,yes,no,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,1,0,2693,International only
2959,Cape Coral,239,118,yes,yes,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,1,0,2855,International & Voicemail 
2991,Cape Coral,239,129,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,1,0,4992,International only
3018,Cape Coral,239,145,yes,yes,30,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,1,0,6398,International & Voicemail 
3058,Tallahassee,850,19,yes,no,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,0,0,3910,International only
3083,Tallahassee,850,54,yes,no,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,1,0,3953,International only
3084,Tallahassee,850,54,yes,no,0,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,3,0,6932,International only
3137,Tallahassee,850,81,yes,no,0,250.6,85,42.6,187.9,50,15.97,120.3,131,5.41,1,0,4664,International only
3138,Tallahassee,850,82,yes,no,0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,3,0,4604,International only
3142,Tallahassee,850,83,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,1,0,3561,International only
3145,Tallahassee,850,84,yes,no,0,443.2,71,50.9,61.9,88,5.26,196.9,89,8.86,2,0,9999,International only
3186,Tallahassee,850,102,yes,no,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,3,0,9689,International only
3252,Tallahassee,850,128,yes,no,0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,0,0,6038,International only
3271,Tallahassee,850,136,yes,no,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,2,0,1547,International only
3272,Tallahassee,850,136,yes,no,0,199.2,122,33.86,214.7,114,18.25,150.9,105,6.79,1,0,9333,International only
3289,Tallahassee,850,147,yes,yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,3,0,5682,International & Voicemail 
3297,Tallahassee,850,149,yes,no,0,180.9,79,30.75,194.9,83,16.57,197.8,109,8.9,3,0,9079,International only
3304,Tallahassee,850,155,yes,no,0,163.1,94,27.73,291.7,108,24.79,96.4,111,4.34,0,0,2961,International only
3305,Tallahassee,850,155,yes,yes,26,211.7,121,35.99,139.2,123,11.83,146.7,89,6.6,1,0,8362,International & Voicemail 
3314,Tallahassee,850,161,yes,no,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1,0,1349,International only
3316,Tallahassee,850,169,yes,no,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,3,0,5870,International only
