,city,area_code,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,phone_num,which_plan
55,Orlando1,321,65,no,yes,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,4,0,4680,Voicemail only
65,Orlando1,321,70,no,no,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,2,0,5329,No plan
66,Orlando1,321,70,no,no,0,230.3,110,39.15,77.9,87,6.62,247.1,105,11.12,1,0,7014,No plan
70,Orlando1,321,72,no,no,0,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,0,0,8385,No plan
71,Orlando1,321,72,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,3,0,1407,Voicemail only
72,Orlando1,321,73,no,no,0,203.3,45,34.56,141.9,87,12.06,200.7,71,9.03,0,0,9347,No plan
77,Orlando1,321,74,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,2,0,5117,Voicemail only
78,Orlando1,321,75,no,no,0,203.3,70,34.56,228.9,97,19.46,222.2,118,10.0,1,0,5003,No plan
79,Orlando1,321,75,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,1,0,3359,No plan
81,Orlando1,321,75,no,yes,24,225.5,119,38.34,182.0,108,15.47,270.9,106,12.19,3,0,4171,Voicemail only
83,Orlando1,321,76,no,no,0,204.2,100,34.71,292.6,139,24.87,244.3,105,10.99,0,0,3911,No plan
86,Orlando1,321,78,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,1,0,6101,No plan
87,Orlando1,321,78,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,3,0,9510,No plan
88,Orlando1,321,79,no,no,0,205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,,0,3515,No plan
89,Orlando1,321,79,no,yes,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,1,0,4412,Voicemail only
95,Orlando1,321,83,no,yes,26,226.4,117,38.49,234.7,97,19.95,133.6,82,6.01,1,0,7460,Voicemail only
99,Orlando1,321,85,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,1,0,4445,No plan
100,Orlando1,321,85,no,no,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,1,0,9007,No plan
101,Orlando1,321,85,yes,no,0,216.0,73,36.72,188.2,117,16.0,147.1,98,6.62,2,0,2776,International only
102,Orlando1,321,86,no,no,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,3,0,1019,No plan
103,Orlando1,321,86,no,yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,3,0,3852,Voicemail only
105,Orlando1,321,87,no,no,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,3,0,2799,No plan
106,Orlando1,321,87,no,no,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,1,0,2887,No plan
107,Orlando1,321,87,no,no,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,1,0,4152,No plan
109,Orlando1,321,87,no,yes,21,214.0,113,36.38,180.0,114,15.3,134.5,82,6.05,0,0,2957,Voicemail only
112,Orlando1,321,88,no,no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,2,0,4856,No plan
120,Orlando1,321,90,yes,no,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,1,0,7293,International only
124,Orlando1,321,92,no,no,0,249.4,118,42.4,211.5,95,17.98,169.0,116,7.61,0,0,9324,No plan
129,Orlando1,321,94,no,no,0,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,2,0,1765,No plan
130,Orlando1,321,94,yes,no,0,235.6,131,40.05,194.8,107,16.56,170.6,93,7.68,1,0,9254,International only
131,Orlando1,321,95,no,no,0,197.0,88,33.49,190.4,68,16.18,211.9,104,9.54,0,0,7331,No plan
135,Orlando1,321,96,no,yes,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,3,0,9187,Voicemail only
136,Orlando1,321,97,no,no,0,209.2,134,35.56,0.0,0,0.0,175.4,94,7.89,1,0,3181,No plan
137,Orlando1,321,97,no,yes,28,202.3,97,34.39,69.2,84,5.88,257.6,64,11.59,1,0,2285,Voicemail only
142,Orlando1,321,99,no,no,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,1,0,1896,No plan
146,Orlando1,321,100,no,no,0,191.9,95,32.62,200.9,101,17.08,271.9,74,12.24,1,0,6121,No plan
150,Orlando1,321,101,no,no,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,5,0,2985,No plan
151,Orlando1,321,101,no,no,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,3,0,7234,No plan
153,Orlando1,321,101,no,yes,42,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,0,0,9118,Voicemail only
155,Orlando1,321,101,yes,no,0,193.7,108,32.93,186.6,98,15.86,223.0,100,10.04,0,0,2074,International only
157,Orlando1,321,102,no,no,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,3,0,7839,No plan
158,Orlando1,321,102,no,no,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,3,0,2726,No plan
160,Orlando1,321,103,no,no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,5,0,6960,No plan
165,Orlando1,321,105,no,no,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,1,0,3806,No plan
166,Orlando1,321,105,no,yes,33,209.6,68,35.63,146.9,140,12.49,121.0,131,5.44,2,0,9982,Voicemail only
167,Orlando1,321,105,no,yes,40,236.5,111,40.21,117.0,110,9.95,221.1,115,9.95,2,0,7857,Voicemail only
169,Orlando1,321,105,yes,no,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,0,0,4540,International only
171,Orlando1,321,106,no,no,0,194.8,133,33.12,213.4,73,18.14,190.8,92,8.59,0,0,9738,No plan
172,Orlando1,321,106,no,no,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,3,0,4142,No plan
174,Orlando1,321,107,no,no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,3,0,9062,No plan
177,Orlando1,321,108,no,no,0,239.3,102,40.68,223.4,127,18.99,251.4,104,11.31,0,0,4068,No plan
187,Orlando1,321,112,no,no,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,0,0,3464,No plan
191,Orlando1,321,113,no,no,0,207.2,113,35.22,256.0,80,21.76,211.0,87,9.49,1,0,7648,No plan
195,Orlando1,321,114,no,no,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,2,0,2376,No plan
196,Orlando1,321,114,no,yes,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,0,0,4626,Voicemail only
199,Orlando1,321,115,no,no,0,245.2,105,41.68,159.0,109,13.52,229.9,74,10.35,0,0,3704,No plan
202,Orlando1,321,116,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,2,0,3371,Voicemail only
203,Orlando1,321,117,no,no,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,2,0,2498,No plan
204,Orlando1,321,117,no,yes,20,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,2,0,3663,Voicemail only
210,Orlando1,321,119,no,no,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,1,0,7649,No plan
211,Orlando1,321,119,no,yes,35,217.1,92,36.91,220.8,134,18.77,249.5,93,11.23,2,0,5718,Voicemail only
214,Orlando1,321,120,no,yes,24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,2,0,8967,Voicemail only
218,Orlando1,321,123,no,no,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,1,0,9104,No plan
219,Orlando1,321,123,no,no,0,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,3,0,7049,No plan
220,Orlando1,321,123,no,no,0,224.0,99,38.08,210.7,80,17.91,231.9,75,10.44,0,0,7560,No plan
223,Orlando1,321,124,no,no,0,254.3,113,43.23,78.9,104,6.71,153.2,69,6.89,2,0,5361,No plan
226,Orlando1,321,125,no,no,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,1,0,3562,No plan
227,Orlando1,321,125,no,no,0,206.0,128,35.02,198.1,71,16.84,135.9,116,6.12,0,0,7597,No plan
245,Orlando1,321,133,no,no,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,0,0,8318,No plan
247,Orlando1,321,134,no,no,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,0,0,6826,No plan
249,Orlando1,321,135,no,no,0,239.9,91,40.78,177.1,104,15.05,217.2,118,9.77,2,0,2524,No plan
253,Orlando1,321,137,no,no,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,0,0,3187,No plan
255,Orlando1,321,138,no,no,0,230.1,107,39.12,212.0,120,18.02,174.9,119,7.87,1,0,4352,No plan
259,Orlando1,321,139,no,no,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,2,0,8964,No plan
261,Orlando1,321,139,no,yes,20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,0,0,3528,Voicemail only
268,Orlando1,321,148,no,yes,33,241.7,84,41.09,165.8,84,14.09,160.6,80,7.23,1,0,9995,Voicemail only
270,Orlando1,321,148,no,yes,38,209.2,110,35.56,116.6,73,9.91,109.6,105,4.93,2,0,1002,Voicemail only
271,Orlando1,321,149,no,yes,20,198.9,77,33.81,274.0,88,23.29,190.7,76,8.58,1,0,7209,Voicemail only
272,Orlando1,321,151,no,no,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,3,0,4712,No plan
276,Orlando1,321,157,no,yes,29,219.2,102,37.26,206.0,109,17.51,192.4,117,8.66,1,0,6647,Voicemail only
281,Orlando1,321,161,no,no,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,3,0,8005,No plan
283,Orlando1,321,165,no,no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,0,0,6630,No plan
284,Orlando1,321,165,no,no,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,0,0,3356,No plan
291,Orlando1,321,169,no,no,0,235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,1,0,9239,No plan
294,Orlando1,321,173,no,yes,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,3,0,5819,Voicemail only
303,Orlando2,407,16,no,no,0,209.5,89,35.62,172.8,85,14.69,94.1,102,4.23,1,0,9417,No plan
306,Orlando2,407,24,no,no,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,1,0,2077,No plan
313,Orlando2,407,37,no,no,0,191.1,69,32.49,129.2,113,10.98,207.5,117,9.34,0,0,1243,No plan
314,Orlando2,407,37,no,yes,20,264.7,81,45.0,216.5,110,18.4,210.7,102,9.48,0,0,7404,Voicemail only
321,Orlando2,407,45,no,no,0,211.3,87,35.92,165.7,97,14.08,265.9,72,11.97,1,0,5763,No plan
324,Orlando2,407,46,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,2,0,8887,No plan
326,Orlando2,407,51,no,no,0,197.8,60,33.63,221.0,64,18.79,168.6,134,7.59,1,0,7288,No plan
327,Orlando2,407,51,no,no,0,227.2,89,38.62,194.4,106,16.52,243.4,126,10.95,0,0,3740,No plan
328,Orlando2,407,51,no,yes,28,276.7,121,47.04,203.7,99,17.31,246.2,88,11.08,0,0,6986,Voicemail only
330,Orlando2,407,53,no,no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,3,0,3011,No plan
332,Orlando2,407,55,no,no,0,194.1,121,33.0,176.6,110,15.01,302.8,136,13.63,2,0,2611,No plan
333,Orlando2,407,55,no,no,0,245.5,130,41.74,192.7,54,16.38,141.7,83,6.38,1,0,3761,No plan
334,Orlando2,407,55,yes,no,0,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,1,0,7562,International only
336,Orlando2,407,56,no,no,0,197.0,110,33.49,222.8,102,18.94,225.3,91,10.14,2,0,5722,No plan
342,Orlando2,407,58,no,no,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,4,0,2762,No plan
348,Orlando2,407,60,no,no,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,2,0,1852,No plan
359,Orlando2,407,65,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,3,0,5450,No plan
361,Orlando2,407,66,no,no,0,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,1,0,2750,No plan
362,Orlando2,407,66,no,no,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,2,0,5900,No plan
364,Orlando2,407,67,no,no,0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,0,0,1431,No plan
365,Orlando2,407,67,no,no,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,4,0,6784,No plan
368,Orlando2,407,68,no,no,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,0,0,1525,No plan
374,Orlando2,407,70,no,no,0,197.3,91,33.54,305.8,81,25.99,171.0,105,7.69,1,0,8132,No plan
377,Orlando2,407,72,no,no,0,196.5,88,33.41,158.6,129,13.48,269.3,118,12.12,0,0,5663,No plan
378,Orlando2,407,73,no,yes,28,198.2,107,33.69,139.1,123,11.82,199.1,139,8.96,2,0,4512,Voicemail only
384,Orlando2,407,75,no,no,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,3,0,2091,No plan
393,Orlando2,407,78,no,no,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,1,0,7561,No plan
394,Orlando2,407,78,no,no,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,0,0,9698,No plan
398,Orlando2,407,79,no,yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,4,0,1647,Voicemail only
401,Orlando2,407,81,no,no,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,2,0,4200,No plan
404,Orlando2,407,82,no,yes,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,2,0,9049,Voicemail only
408,Orlando2,407,84,no,no,0,203.4,125,34.58,182.9,88,15.55,213.7,121,9.62,1,0,1904,No plan
412,Orlando2,407,86,no,no,0,217.8,93,37.03,214.7,95,18.25,228.7,70,10.29,0,0,1132,No plan
413,Orlando2,407,86,no,no,0,223.9,75,38.06,155.7,109,13.23,150.2,143,6.76,1,0,1337,No plan
417,Orlando2,407,89,no,no,0,197.1,110,33.51,165.9,115,14.1,227.3,106,10.23,1,0,9144,No plan
419,Orlando2,407,89,no,yes,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,1,0,4728,Voicemail only
421,Orlando2,407,90,no,no,0,222.0,93,37.74,187.0,103,15.9,282.3,124,12.7,2,0,5679,No plan
437,Orlando2,407,96,no,yes,27,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,1,0,2881,Voicemail only
440,Orlando2,407,97,no,no,0,211.0,76,35.87,189.0,100,16.07,123.0,102,5.54,3,0,2891,No plan
441,Orlando2,407,97,no,no,0,215.3,58,36.6,242.4,91,20.6,279.8,105,12.59,0,0,7285,No plan
442,Orlando2,407,97,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,2,0,3266,No plan
444,Orlando2,407,98,no,no,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0,0,7452,No plan
447,Orlando2,407,99,no,no,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,3,0,9981,No plan
448,Orlando2,407,99,no,no,0,254.4,120,43.25,159.3,92,13.54,264.4,94,11.9,1,0,6628,No plan
453,Orlando2,407,100,no,yes,29,213.6,127,36.31,175.9,82,14.95,207.2,100,9.32,1,0,5202,Voicemail only
454,Orlando2,407,100,yes,no,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,4,0,9449,International only
460,Orlando2,407,102,no,no,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,1,0,7622,No plan
466,Orlando2,407,105,no,no,0,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,3,0,5750,No plan
468,Orlando2,407,106,no,no,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,1,0,8162,No plan
469,Orlando2,407,106,no,no,0,223.0,121,37.91,110.1,98,9.36,188.7,107,8.49,0,0,1567,No plan
474,Orlando2,407,107,no,yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,1,0,5062,Voicemail only
478,Orlando2,407,109,yes,yes,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,0,0,9691,International & Voicemail 
479,Orlando2,407,110,no,no,0,208.0,69,35.36,95.1,94,8.08,178.5,129,8.03,1,0,2434,No plan
481,Orlando2,407,111,no,no,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,2,0,6438,No plan
484,Orlando2,407,112,no,no,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,1,0,5286,No plan
486,Orlando2,407,112,yes,yes,16,200.3,72,34.05,197.8,91,16.81,151.1,92,6.8,1,0,2928,International & Voicemail 
487,Orlando2,407,113,no,no,0,215.9,93,36.7,240.1,85,20.41,156.7,123,7.05,3,0,5505,No plan
489,Orlando2,407,114,no,no,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0,0,2602,No plan
493,Orlando2,407,115,no,yes,29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,1,0,6669,Voicemail only
499,Orlando2,407,116,no,no,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,1,0,6266,No plan
500,Orlando2,407,116,no,no,0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,2,0,2478,No plan
501,Orlando2,407,116,no,no,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,3,0,6832,No plan
502,Orlando2,407,116,no,yes,24,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,1,0,2929,Voicemail only
503,Orlando2,407,116,no,yes,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,0,0,5639,Voicemail only
507,Orlando2,407,120,no,no,0,221.3,106,37.62,267.6,98,22.75,111.5,80,5.02,0,0,4052,No plan
508,Orlando2,407,120,no,no,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7.0,1,0,5547,No plan
510,Orlando2,407,122,no,yes,22,204.5,92,34.77,139.6,121,11.87,205.0,103,9.23,2,0,7227,Voicemail only
523,Orlando2,407,126,yes,yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,4,0,3722,International & Voicemail 
530,Orlando2,407,128,no,no,0,216.0,111,36.72,153.7,115,13.06,227.0,74,10.22,1,0,8796,No plan
533,Orlando2,407,129,no,no,0,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,2,0,7978,No plan
540,Orlando2,407,132,no,yes,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,0,0,9274,Voicemail only
541,Orlando2,407,133,no,no,0,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,0,0,3194,No plan
543,Orlando2,407,133,no,yes,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,5,0,1464,Voicemail only
546,Orlando2,407,134,no,yes,32,216.8,78,36.86,102.2,111,8.69,174.0,83,7.83,0,0,7037,Voicemail only
547,Orlando2,407,134,no,yes,50,208.8,130,35.5,132.9,104,11.3,136.7,107,6.15,2,0,7255,Voicemail only
548,Orlando2,407,135,no,no,0,194.8,97,33.12,235.3,118,20.0,174.4,126,7.85,1,0,3994,No plan
549,Orlando2,407,135,no,no,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,4,0,2947,No plan
557,Orlando2,407,138,no,no,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,0,0,5751,No plan
558,Orlando2,407,138,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,3,0,1231,No plan
562,Orlando2,407,139,no,no,0,271.6,130,46.17,156.0,131,13.26,136.3,108,6.13,2,0,9766,No plan
566,Orlando2,407,142,no,no,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,4,0,4617,No plan
567,Orlando2,407,142,no,yes,26,220.5,94,37.49,239.5,126,20.36,254.3,109,11.44,2,0,4936,Voicemail only
568,Orlando2,407,143,no,no,0,194.3,99,33.03,123.6,133,10.51,229.5,99,10.33,2,0,3439,No plan
575,Orlando2,407,149,no,no,0,196.3,,33.37,136.8,96,11.63,154.7,87,6.96,2,0,5930,No plan
576,Orlando2,407,150,no,yes,27,209.8,112,35.67,155.0,80,13.18,251.5,111,11.32,0,0,2148,Voicemail only
578,Orlando2,407,151,no,yes,17,214.7,97,36.5,138.5,90,11.77,169.1,44,7.61,1,0,8265,Voicemail only
580,Orlando2,407,155,yes,no,0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,2,0,9531,International only
581,Orlando2,407,156,yes,no,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,1,0,4518,International only
582,Orlando2,407,157,no,no,0,196.0,74,33.32,213.4,96,18.14,196.8,81,8.86,1,0,7701,No plan
584,Orlando2,407,160,no,no,0,206.3,66,35.07,241.1,109,20.49,227.8,102,10.25,0,0,9326,No plan
587,Orlando2,407,164,no,no,0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,3,0,3939,No plan
592,Orlando2,407,174,no,no,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,1,0,5580,No plan
595,Orlando2,407,181,no,no,0,229.9,130,39.08,144.4,93,12.27,262.4,110,11.81,2,0,6304,No plan
602,Orlando2,407,197,no,no,0,233.9,96,39.76,218.9,111,18.61,182.9,109,8.23,0,0,2922,No plan
605,Miami1,305,1,no,no,0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,1,0,5591,No plan
609,Miami1,305,18,no,no,0,197.0,97,33.49,203.7,107,17.31,202.0,105,9.09,3,0,6382,No plan
610,Miami1,305,27,no,no,0,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,1,0,4557,No plan
612,Miami1,305,30,no,no,0,247.4,107,42.06,175.9,76,14.95,287.4,90,12.93,0,0,8088,No plan
614,Miami1,305,32,no,yes,26,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,1,0,9563,Voicemail only
624,Miami1,305,41,no,yes,30,191.7,109,32.59,193.0,86,16.41,149.4,93,6.72,1,0,6642,Voicemail only
627,Miami1,305,48,no,no,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,2,0,6696,No plan
628,Miami1,305,48,no,yes,34,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,1,0,2056,Voicemail only
629,Miami1,305,49,no,no,0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,0,0,6085,No plan
630,Miami1,305,49,no,no,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,1,0,8970,No plan
632,Miami1,305,50,no,no,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,1,0,9037,No plan
633,Miami1,305,50,no,yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,1,0,1218,Voicemail only
634,Miami1,305,50,no,yes,31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,3,0,6436,Voicemail only
635,Miami1,305,51,no,no,0,214.8,94,36.52,149.7,58,12.72,283.4,66,12.75,0,0,1359,No plan
636,Miami1,305,52,no,no,0,204.4,97,34.75,273.2,128,23.22,179.6,118,8.08,1,0,6356,No plan
640,Miami1,305,55,no,no,0,286.7,100,48.74,134.4,121,11.42,192.9,122,8.68,2,0,5478,No plan
642,Miami1,305,57,no,no,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,1,0,3507,No plan
644,Miami1,305,58,no,no,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,0,0,1560,No plan
646,Miami1,305,59,no,yes,32,211.9,120,36.02,202.9,136,17.25,213.5,95,9.61,1,0,3796,Voicemail only
654,Miami1,305,65,no,yes,31,282.3,70,47.99,152.0,89,12.92,225.5,93,10.15,1,0,7484,Voicemail only
655,Miami1,305,66,no,no,0,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,2,0,2377,No plan
656,Miami1,305,66,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,2,0,4145,Voicemail only
659,Miami1,305,68,no,no,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,2,0,3486,No plan
660,Miami1,305,68,no,no,0,237.1,105,40.31,223.5,105,19.0,97.4,79,4.38,1,0,9398,No plan
661,Miami1,305,69,no,no,0,194.2,122,33.01,242.1,81,20.58,215.8,80,9.71,2,0,3808,No plan
662,Miami1,305,69,no,no,0,195.1,91,33.17,261.5,57,22.23,203.8,90,9.17,0,0,5000,No plan
666,Miami1,305,71,no,no,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,1,0,4265,No plan
669,Miami1,305,72,no,no,0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,0,0,9830,No plan
672,Miami1,305,74,no,no,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,2,0,6278,No plan
673,Miami1,305,74,no,yes,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,2,0,3150,Voicemail only
677,Miami1,305,76,no,no,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,2,0,1506,No plan
679,Miami1,305,76,no,yes,26,214.6,110,36.48,205.2,87,17.44,134.6,140,6.06,1,0,4185,Voicemail only
681,Miami1,305,77,no,no,0,221.8,84,37.71,166.0,125,14.11,210.2,72,9.46,1,0,5701,No plan
