,city,area_code,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,phone_num,which_plan
172,Orlando1,321,106,no,no,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,3,0,4142,No plan
174,Orlando1,321,107,no,no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,3,0,9062,No plan
182,Orlando1,321,111,no,no,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,3,0,5556,No plan
186,Orlando1,321,112,no,no,0,189.4,83,32.2,219.0,89,18.62,168.0,116,7.56,3,0,5659,No plan
201,Orlando1,321,116,no,yes,19,155.7,104,26.47,185.4,118,15.76,192.7,116,8.67,3,0,7527,Voicemail only
205,Orlando1,321,117,no,yes,31,104.9,115,17.83,237.6,125,20.2,263.4,104,11.85,3,0,2553,Voicemail only
219,Orlando1,321,123,no,no,0,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,3,0,7049,No plan
248,Orlando1,321,135,no,no,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3,0,8177,No plan
272,Orlando1,321,151,no,no,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,3,0,4712,No plan
281,Orlando1,321,161,no,no,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,3,0,8005,No plan
294,Orlando1,321,173,no,yes,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,3,0,5819,Voicemail only
299,Orlando1,321,197,no,no,0,154.8,111,26.32,171.5,102,14.58,227.3,86,10.23,3,0,8405,No plan
325,Orlando2,407,47,no,no,0,155.3,116,26.4,188.2,85,16.0,247.0,73,11.12,3,0,7353,No plan
330,Orlando2,407,53,no,no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,3,0,3011,No plan
341,Orlando2,407,58,no,no,0,131.9,,22.42,167.6,107,14.25,205.9,106,9.27,3,0,1134,No plan
342,Orlando2,407,58,no,no,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,4,0,2762,No plan
343,Orlando2,407,59,no,no,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,3,0,5564,No plan
352,Orlando2,407,61,yes,yes,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,3,0,3843,International & Voicemail 
356,Orlando2,407,64,no,no,0,113.8,97,19.35,192.3,97,16.35,214.9,89,9.67,3,0,1126,No plan
359,Orlando2,407,65,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,3,0,5450,No plan
365,Orlando2,407,67,no,no,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,4,0,6784,No plan
376,Orlando2,407,72,no,no,0,118.2,106,20.09,167.2,136,14.21,214.2,106,9.64,3,0,8026,No plan
384,Orlando2,407,75,no,no,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,3,0,2091,No plan
398,Orlando2,407,79,no,yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,4,0,1647,Voicemail only
429,Orlando2,407,94,no,no,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,3,0,8891,No plan
439,Orlando2,407,97,no,no,0,169.7,84,28.85,165.9,86,14.1,191.9,83,8.64,3,0,3596,No plan
440,Orlando2,407,97,no,no,0,211.0,76,35.87,189.0,100,16.07,123.0,102,5.54,3,0,2891,No plan
445,Orlando2,407,98,no,yes,29,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,3,0,5817,Voicemail only
447,Orlando2,407,99,no,no,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,3,0,9981,No plan
454,Orlando2,407,100,yes,no,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,4,0,9449,International only
463,Orlando2,407,103,yes,no,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,3,0,3678,International only
466,Orlando2,407,105,no,no,0,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,3,0,5750,No plan
473,Orlando2,407,107,no,no,0,189.7,76,32.25,156.1,65,13.27,244.0,91,10.98,5,0,1399,No plan
487,Orlando2,407,113,no,no,0,215.9,93,36.7,240.1,85,20.41,156.7,123,7.05,3,0,5505,No plan
490,Orlando2,407,115,no,no,0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,3,0,3525,No plan
497,Orlando2,407,116,no,no,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,3,0,3527,No plan
501,Orlando2,407,116,no,no,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,3,0,6832,No plan
504,Orlando2,407,117,no,no,0,102.3,100,17.39,135.2,104,11.49,199.7,93,8.99,3,0,8827,No plan
505,Orlando2,407,119,no,yes,29,117.8,66,20.03,256.8,114,21.83,147.6,76,6.64,3,0,3222,Voicemail only
515,Orlando2,407,124,no,no,0,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,3,0,5274,No plan
516,Orlando2,407,124,no,no,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,3,0,6990,No plan
523,Orlando2,407,126,yes,yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,4,0,3722,International & Voicemail 
524,Orlando2,407,127,no,no,0,96.0,117,16.32,177.0,68,15.05,162.2,127,7.3,3,0,8462,No plan
526,Orlando2,407,127,no,yes,27,2.6,113,0.44,254.0,102,21.59,242.7,156,10.92,3,0,1128,Voicemail only
543,Orlando2,407,133,no,yes,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,5,0,1464,Voicemail only
549,Orlando2,407,135,no,no,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,4,0,2947,No plan
551,Orlando2,407,136,no,yes,27,187.7,84,31.91,221.0,147,18.79,145.7,110,6.56,3,0,7650,Voicemail only
558,Orlando2,407,138,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,3,0,1231,No plan
559,Orlando2,407,138,no,yes,33,155.2,139,26.38,268.3,79,22.81,186.4,71,8.39,3,0,5532,Voicemail only
565,Orlando2,407,141,no,yes,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,4,0,9511,Voicemail only
566,Orlando2,407,142,no,no,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,4,0,4617,No plan
583,Orlando2,407,160,no,no,0,97.5,113,16.58,268.1,69,22.79,255.3,62,11.49,3,0,8436,No plan
587,Orlando2,407,164,no,no,0,192.1,95,32.66,249.8,94,21.23,132.6,100,5.97,3,0,3939,No plan
607,Miami1,305,16,no,no,0,161.9,100,27.52,230.1,138,19.56,148.8,78,6.7,3,0,2322,No plan
609,Miami1,305,18,no,no,0,197.0,97,33.49,203.7,107,17.31,202.0,105,9.09,3,0,6382,No plan
611,Miami1,305,30,no,no,0,145.0,76,24.65,240.7,112,20.46,197.1,134,8.87,3,0,5427,No plan
615,Miami1,305,33,no,no,0,184.4,111,31.35,203.8,110,17.32,237.4,100,10.68,3,0,1726,No plan
622,Miami1,305,40,yes,no,0,170.7,55,29.02,179.1,108,15.22,281.9,89,12.69,3,0,2189,International only
634,Miami1,305,50,no,yes,31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,3,0,6436,Voicemail only
657,Miami1,305,68,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,3,0,9733,No plan
705,Miami1,305,85,yes,no,0,197.2,97,33.52,211.7,115,17.99,210.1,133,9.45,4,0,2460,International only
707,Miami1,305,87,no,no,0,124.3,91,21.13,173.4,105,14.74,256.3,109,11.53,3,0,3693,No plan
710,Miami1,305,87,no,yes,39,82.6,113,14.04,224.4,63,19.07,163.6,88,7.36,3,0,8484,Voicemail only
719,Miami1,305,92,no,yes,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,4,0,4063,Voicemail only
720,Miami1,305,92,no,yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,3,0,8242,Voicemail only
730,Miami1,305,96,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,5,0,4596,No plan
739,Miami1,305,99,no,yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,3,0,5076,Voicemail only
742,Miami1,305,101,no,no,0,136.2,92,23.15,220.9,110,18.78,196.9,116,8.86,3,0,5334,No plan
743,Miami1,305,101,no,no,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,4,0,5511,No plan
747,Miami1,305,103,no,no,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,5,0,4621,No plan
754,Miami1,305,106,no,yes,9,88.5,100,15.05,324.8,109,27.61,79.9,86,3.6,3,0,2523,Voicemail only
758,Miami1,305,108,no,yes,25,170.7,88,29.02,109.9,113,9.34,165.7,99,7.46,3,0,3037,Voicemail only
760,Miami1,305,109,no,no,0,180.0,100,30.6,229.0,103,19.47,139.4,105,6.27,3,0,2653,No plan
767,Miami1,305,112,no,no,0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,4,0,1872,No plan
768,Miami1,305,112,no,yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,4,0,5601,Voicemail only
771,Miami1,305,113,no,no,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,4,0,4313,No plan
784,Miami1,305,119,no,no,,230.4,117,39.17,225.0,101,19.13,198.5,111,8.93,3,0,4795,No plan
785,Miami1,305,119,no,no,0,138.3,89,23.51,170.5,78,14.49,263.9,98,11.88,3,0,3192,No plan
809,Miami1,305,129,no,no,0,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,4,0,9475,No plan
816,Miami1,305,131,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,3,0,4902,Voicemail only
822,Miami1,305,133,no,no,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,4,0,4007,No plan
844,Miami1,305,152,no,no,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,3,0,7846,No plan
845,Miami1,305,154,no,no,0,191.4,93,32.54,205.4,119,17.46,205.7,121,9.26,3,0,6896,No plan
848,Miami1,305,157,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,3,0,4756,Voicemail only
852,Miami1,305,165,no,no,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,6,0,7746,No plan
857,Miami1,305,169,no,no,0,147.2,115,25.02,161.9,123,13.76,142.1,103,6.39,3,0,5169,No plan
858,Miami1,305,170,yes,no,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,3,0,1639,International only
872,Miami2,786,27,no,no,0,177.6,121,30.19,296.8,92,25.23,192.9,106,8.68,3,0,7414,No plan
873,Miami2,786,27,no,no,0,232.1,81,39.46,210.8,101,17.92,165.4,87,7.44,5,0,2840,No plan
875,Miami2,786,28,no,no,0,236.8,102,40.26,167.1,87,14.2,280.2,115,12.61,3,0,5014,No plan
889,Miami2,786,43,no,no,0,27.0,117,4.59,160.9,97,13.68,279.5,96,12.58,3,0,9367,No plan
891,Miami2,786,43,no,no,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,4,0,6683,No plan
900,Miami2,786,53,no,no,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,3,0,5707,No plan
906,Miami2,786,60,no,no,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,3,0,6552,No plan
920,Miami2,786,64,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,3,0,7108,Voicemail only
921,Miami2,786,64,no,yes,40,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,8,0,8822,Voicemail only
929,Miami2,786,70,no,no,0,147.1,105,25.01,200.0,135,17.0,234.9,65,10.57,3,0,9940,No plan
930,Miami2,786,70,no,no,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,3,0,4582,No plan
933,Miami2,786,71,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,3,0,7318,No plan
935,Miami2,786,73,no,no,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,3,0,7314,No plan
938,Miami2,786,74,no,no,0,124.8,114,21.22,133.0,121,11.31,160.3,85,7.21,3,0,4215,No plan
941,Miami2,786,75,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,3,0,6626,International only
950,Miami2,786,80,no,yes,31,166.4,92,28.29,238.3,74,20.26,150.7,84,6.78,4,0,9525,Voicemail only
953,Miami2,786,81,no,yes,36,115.9,120,19.7,236.6,95,20.11,255.0,90,11.48,3,0,2722,Voicemail only
955,Miami2,786,82,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,4,0,3446,No plan
956,Miami2,786,82,no,no,0,207.0,90,35.19,232.9,83,19.8,172.4,108,7.76,3,0,6043,No plan
958,Miami2,786,84,no,yes,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,3,0,1007,Voicemail only
961,Miami2,786,85,no,no,0,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3,0,1208,No plan
962,Miami2,786,85,no,yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,5,0,6668,Voicemail only
969,Miami2,786,87,no,no,0,177.2,72,30.12,248.9,105,21.16,200.8,87,9.04,3,0,4372,No plan
976,Miami2,786,90,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,3,0,6103,No plan
987,Miami2,786,93,no,no,0,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,3,0,4291,No plan
989,Miami2,786,94,no,no,0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,3,0,7788,No plan
990,Miami2,786,94,no,no,0,181.8,85,30.91,202.4,98,17.2,245.9,97,11.07,4,0,7339,No plan
992,Miami2,786,94,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,4,0,3046,International only
997,Miami2,786,97,no,no,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,3,0,4030,No plan
999,Miami2,786,97,no,yes,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,5,0,5267,Voicemail only
1001,Miami2,786,98,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,3,0,9976,No plan
1017,Miami2,786,104,no,no,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,3,0,5047,No plan
1026,Miami2,786,108,no,no,0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,3,0,1688,No plan
1043,Miami2,786,115,no,yes,26,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,6,0,6306,Voicemail only
1045,Miami2,786,116,no,no,0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,3,0,8478,No plan
1063,Miami2,786,120,no,no,0,180.0,80,30.6,224.2,82,19.06,265.4,91,11.94,3,0,7321,No plan
1066,Miami2,786,120,no,yes,27,153.5,84,26.1,194.0,73,16.49,256.5,94,11.54,5,0,8147,Voicemail only
1070,Miami2,786,121,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,3,0,5526,No plan
1078,Miami2,786,123,no,no,0,260.9,85,44.35,168.5,103,14.32,178.3,91,8.02,3,0,6594,No plan
1097,Miami2,786,136,yes,no,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,3,0,8596,International only
1107,Miami2,786,139,no,no,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,3,0,7501,No plan
1115,Miami2,786,146,no,no,0,195.9,86,33.3,228.6,82,19.43,303.5,94,13.66,3,0,5911,No plan
1117,Miami2,786,147,no,yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,3,0,7205,Voicemail only
1132,Miami2,786,156,no,no,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,3,0,6851,No plan
1134,Miami2,786,160,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,3,0,7274,No plan
1143,Miami2,786,172,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,3,0,1121,No plan
1151,Miami2,786,180,no,no,0,143.5,121,24.4,189.3,111,16.09,174.9,82,7.87,3,0,7372,No plan
1155,Miami2,786,202,no,no,0,115.4,137,19.62,178.7,70,15.19,185.7,113,8.36,3,0,2589,No plan
1168,Jacksonville,904,28,no,no,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,3,0,5223,No plan
1174,Jacksonville,904,37,no,no,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,3,0,7675,No plan
1176,Jacksonville,904,37,no,no,0,221.0,126,37.57,204.5,110,17.38,118.0,98,5.31,4,0,2238,No plan
1192,Jacksonville,904,50,no,yes,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,3,0,2107,Voicemail only
1197,Jacksonville,904,54,no,yes,39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,3,0,2867,Voicemail only
1211,Jacksonville,904,62,no,no,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,4,0,5423,No plan
1221,Jacksonville,904,66,yes,no,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,3,0,3333,International only
1231,Jacksonville,904,70,no,no,0,134.7,96,22.9,235.9,90,20.05,260.2,113,11.71,3,0,4962,No plan
1241,Jacksonville,904,74,no,no,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,3,0,6533,No plan
1246,Jacksonville,904,77,no,no,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,4,0,2261,No plan
1248,Jacksonville,904,77,no,no,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,5,0,1252,No plan
1259,Jacksonville,904,80,no,no,0,198.1,160,33.68,156.7,87,13.32,182.1,76,8.19,3,0,8288,No plan
1266,Jacksonville,904,83,no,no,0,231.3,100,39.32,210.4,84,17.88,217.4,106,9.78,3,0,6145,No plan
1267,Jacksonville,904,85,no,no,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,3,0,1962,No plan
1274,Jacksonville,904,88,no,no,0,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,3,0,7201,No plan
1278,Jacksonville,904,90,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,3,0,6870,No plan
1299,Jacksonville,904,94,no,no,0,212.1,98,36.06,189.4,89,16.1,352.2,95,15.85,3,0,3236,No plan
1303,Jacksonville,904,95,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,4,0,2577,No plan
1317,Jacksonville,904,98,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4,0,6506,Voicemail only
1322,Jacksonville,904,99,no,no,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,3,0,7334,No plan
1326,Jacksonville,904,100,no,yes,32,125.2,123,21.28,230.9,101,19.63,192.0,106,8.64,3,0,7643,Voicemail only
1330,Jacksonville,904,101,no,yes,28,220.3,96,37.45,285.8,72,24.29,203.0,111,9.14,4,0,9127,Voicemail only
1335,Jacksonville,904,105,no,no,0,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,4,0,6489,No plan
1353,Jacksonville,904,111,no,yes,36,166.2,54,28.25,238.8,109,20.3,108.8,92,4.9,3,0,9313,Voicemail only
1370,Jacksonville,904,118,no,no,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,4,0,1222,No plan
1400,Jacksonville,904,126,no,no,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,3,0,9663,No plan
1408,Jacksonville,904,128,no,no,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,4,0,4613,No plan
1412,Jacksonville,904,129,no,no,0,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,3,0,2632,No plan
1418,Jacksonville,904,132,no,no,0,240.1,115,40.82,180.4,91,15.33,133.4,122,6.0,3,0,7903,No plan
1422,Jacksonville,904,136,no,no,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,3,0,1954,No plan
1424,Jacksonville,904,137,no,no,0,242.1,118,41.16,191.0,93,16.24,218.6,50,9.84,3,0,5732,No plan
1426,Jacksonville,904,138,no,no,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,3,0,6473,No plan
1427,Jacksonville,904,138,no,no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,3,0,8595,No plan
1432,Jacksonville,904,140,yes,yes,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,4,0,1076,International & Voicemail 
1434,Jacksonville,904,141,no,no,0,242.8,90,41.28,234.1,80,19.9,211.5,104,9.52,5,0,6773,No plan
1447,Jacksonville,904,149,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,3,0,8160,Voicemail only
1460,Jacksonville,904,155,no,no,0,165.4,108,28.12,183.7,103,15.61,80.2,108,3.61,3,0,7277,No plan
1461,Jacksonville,904,155,no,no,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,3,0,4772,No plan
1494,Tampa,813,6,no,no,0,226.5,93,38.51,152.1,122,12.93,164.4,98,7.4,3,0,1331,No plan
1497,Tampa,813,13,no,no,0,193.2,89,32.84,194.4,90,16.52,186.5,104,8.39,4,0,7580,No plan
1503,Tampa,813,24,no,yes,29,236.3,105,40.17,190.8,114,16.22,129.0,105,5.81,3,0,9396,Voicemail only
1517,Tampa,813,46,no,no,0,196.7,85,33.44,205.9,74,17.5,216.6,112,9.75,3,0,3538,No plan
1522,Tampa,813,49,no,yes,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,3,0,6229,Voicemail only
1531,Tampa,813,58,no,no,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,4,0,6598,No plan
1534,Tampa,813,60,no,no,0,193.9,118,32.96,85.0,110,7.23,210.1,134,9.45,3,0,2738,No plan
1537,Tampa,813,64,no,no,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,3,0,1952,No plan
1541,Tampa,813,66,no,no,0,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,3,0,7393,No plan
1544,Tampa,813,67,no,no,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,6,0,5370,No plan
1551,Tampa,813,72,no,no,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,4,0,4806,No plan
1559,Tampa,813,79,no,no,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,3,0,7443,No plan
1564,Tampa,813,81,no,no,0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,4,0,1095,No plan
1569,Tampa,813,82,no,yes,34,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,3,0,7204,Voicemail only
1570,Tampa,813,83,no,no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,3,0,4384,No plan
1591,Tampa,813,91,no,no,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,3,0,5337,No plan
1627,Tampa,813,103,yes,no,0,171.7,78,29.19,144.5,86,12.28,157.9,106,7.11,3,0,2560,International only
1630,Tampa,813,104,no,no,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,4,0,3346,No plan
1634,Tampa,813,105,no,no,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,3,0,3145,No plan
1636,Tampa,813,105,yes,no,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,3,0,2250,International only
1638,Tampa,813,107,no,no,0,204.5,108,34.77,162.4,110,13.8,155.0,102,6.98,3,0,5495,No plan
1648,Tampa,813,110,no,no,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,3,0,2335,No plan
1650,Tampa,813,110,no,no,0,151.8,106,25.81,138.0,126,11.73,233.5,112,10.51,3,0,9059,No plan
1653,Tampa,813,113,no,no,0,92.6,85,15.74,177.6,92,15.1,159.8,72,7.19,3,0,3340,No plan
1654,Tampa,813,113,no,no,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,3,0,7270,No plan
